building_id,damage_grade
300051,1
99355,1
890251,1
745817,1
421793,1
871976,2
691228,1
896100,1
343471,2
766647,1
800548,2
652685,2
590834,1
612530,2
535718,1
269418,1
281421,1
797571,1
216579,1
81554,1
132785,1
976125,2
851237,1
322922,1
786774,1
922680,2
134349,1
551456,1
194812,1
520031,1
765502,1
517764,2
174470,1
395012,1
159776,1
62638,1
65760,1
761527,1
37201,1
853163,1
562505,1
349010,1
780817,1
179897,1
845103,1
171560,2
586661,1
84102,2
610806,2
269531,1
3781,1
127674,1
820462,1
955190,1
405557,1
143219,1
360041,1
378036,2
613583,2
992040,2
849585,1
491236,1
847580,1
229211,1
173624,1
642562,1
86467,1
684629,1
304627,2
255913,1
861624,2
367328,1
13216,1
838446,1
981040,1
335849,1
823769,2
666855,2
398783,1
829946,2
326177,2
359387,2
924578,1
712624,2
946541,2
373943,1
865274,2
522404,1
841632,1
649142,2
332157,2
722082,2
279597,1
107512,1
26477,1
138895,1
553866,1
157718,1
582842,1
123399,1
189875,1
70843,2
225218,1
703273,1
245176,1
760257,1
641933,1
76772,1
302226,1
535232,1
311900,1
859468,1
496582,1
970295,1
38184,1
533972,1
787930,1
706637,1
684359,1
744804,1
675284,1
900064,1
13833,1
483231,1
993785,1
91756,1
116435,1
27649,2
806119,1
527762,1
119879,1
521901,1
960588,1
150992,2
136949,1
681857,1
676342,1
85413,1
242230,1
46916,2
343837,1
693348,1
826208,1
639042,1
180348,1
997642,1
1014983,1
995476,1
599482,1
405738,1
209844,1
51119,2
1009242,1
260072,2
504317,2
678345,1
96671,2
738466,1
475174,2
767788,2
73477,1
140388,1
514634,1
59716,1
1038485,1
531485,1
666051,2
799813,1
420703,1
589536,1
661373,1
183074,1
875195,1
734876,1
988161,1
596967,2
370776,1
422000,2
829879,1
622400,1
789622,1
780895,2
14602,1
988846,2
1052375,1
101200,1
1005009,1
892887,1
582579,1
643663,1
420773,2
593771,1
678254,2
842277,2
797666,1
247831,1
987658,1
738804,1
803821,1
450829,1
490713,1
317799,1
260213,1
563507,1
890921,1
358475,1
877097,1
611331,1
140112,1
489116,2
751219,1
637592,2
363399,1
349807,1
1010213,1
274275,2
422044,1
635742,2
162240,2
380659,1
39235,1
594817,1
276267,2
622421,1
411651,1
528011,2
851293,1
669376,1
1753,1
638718,1
751101,2
559460,1
76515,1
80460,1
553776,1
312150,1
772309,1
437345,1
487537,2
393387,1
891125,2
1023631,2
107261,1
126191,1
137116,1
929006,1
222150,1
910002,1
86044,1
176074,1
153074,2
610702,2
856941,1
617478,1
485928,1
922208,2
306370,1
236678,1
419900,1
699568,1
771219,1
991482,1
211384,1
607193,2
911675,1
526435,2
303475,1
592882,1
715235,1
493169,1
981940,1
991842,1
942957,1
547080,2
636191,1
823756,2
151559,2
467575,2
17506,1
356258,1
235542,1
950690,1
715814,1
755888,2
550420,1
447977,1
490413,1
497546,1
975798,1
27136,1
705001,1
827358,1
812768,1
198545,1
69810,1
687284,1
169271,2
560991,1
89659,1
196494,1
978469,2
541401,1
762181,2
887981,2
974381,1
214827,1
14115,2
150603,1
236827,1
826290,1
1016586,1
417251,2
199989,1
41040,1
329865,1
446380,1
573543,1
79534,2
