building_id,damage_grade
300051,3
99355,2
890251,1
745817,1
421793,2
871976,3
691228,2
896100,3
343471,3
766647,2
800548,1
652685,2
590834,2
612530,3
535718,1
269418,3
281421,2
797571,3
216579,2
81554,1
132785,2
976125,3
851237,2
322922,2
786774,3
922680,2
134349,1
551456,3
194812,3
520031,2
765502,3
517764,2
174470,2
395012,3
159776,2
62638,3
65760,2
761527,3
37201,2
853163,2
562505,3
349010,2
780817,2
179897,2
845103,2
171560,3
586661,3
84102,2
610806,2
269531,2
3781,3
127674,3
820462,2
955190,3
405557,2
143219,2
360041,2
378036,3
613583,3
992040,3
849585,3
491236,3
847580,2
229211,2
173624,1
642562,3
86467,2
684629,3
304627,3
255913,2
861624,3
367328,1
13216,2
838446,1
981040,2
335849,2
823769,2
666855,2
398783,2
829946,1
326177,2
359387,3
924578,2
712624,1
946541,2
373943,2
865274,2
522404,3
841632,2
649142,2
332157,3
722082,3
279597,2
107512,3
26477,2
138895,2
553866,3
157718,2
582842,3
123399,2
189875,1
70843,1
225218,3
703273,2
245176,3
760257,2
641933,2
76772,2
302226,3
535232,2
311900,3
859468,3
496582,2
970295,2
38184,3
533972,2
787930,3
706637,3
684359,2
744804,3
675284,2
900064,1
13833,3
483231,2
993785,3
91756,2
116435,1
27649,2
806119,3
527762,2
119879,1
521901,3
960588,3
150992,2
136949,2
681857,2
676342,2
85413,2
242230,2
46916,3
343837,2
693348,2
826208,2
639042,1
180348,2
997642,2
1014983,2
995476,2
599482,2
405738,3
209844,3
51119,1
1009242,2
260072,2
504317,2
678345,2
96671,2
738466,2
475174,1
767788,2
73477,2
140388,2
514634,2
59716,2
1038485,3
531485,2
666051,3
799813,2
420703,2
589536,3
661373,2
183074,2
875195,2
734876,2
988161,2
596967,3
370776,3
422000,2
829879,2
622400,2
789622,1
780895,1
14602,2
988846,2
1052375,2
101200,1
1005009,3
892887,2
582579,2
643663,3
420773,2
593771,3
678254,2
842277,3
797666,1
247831,3
987658,3
738804,2
803821,2
450829,2
490713,2
317799,2
260213,3
563507,2
890921,3
358475,2
877097,2
611331,3
140112,2
489116,2
751219,2
637592,2
363399,2
349807,3
1010213,2
274275,2
422044,2
635742,3
162240,3
380659,3
39235,1
594817,2
276267,2
622421,3
411651,3
528011,2
851293,3
669376,2
1753,2
638718,3
751101,2
559460,2
76515,1
80460,2
553776,3
312150,2
772309,2
437345,2
487537,3
393387,2
891125,2
1023631,3
107261,3
126191,3
137116,1
929006,3
222150,2
910002,2
86044,2
176074,3
153074,2
610702,3
856941,2
617478,3
485928,3
922208,1
306370,2
236678,3
419900,2
699568,2
771219,2
991482,1
211384,3
607193,2
911675,1
526435,1
303475,1
592882,3
715235,2
493169,2
981940,2
991842,2
942957,1
547080,2
636191,2
823756,2
151559,1
467575,2
17506,2
356258,2
235542,2
950690,3
715814,1
755888,2
550420,2
447977,1
490413,3
497546,3
975798,2
27136,2
705001,2
827358,3
812768,2
198545,2
69810,2
687284,3
169271,3
560991,2
89659,2
196494,3
978469,3
541401,2
762181,2
887981,2
974381,2
214827,2
14115,1
150603,3
236827,3
